id,label
metal1,4
metal2,4
metal3,4
metal4,4
metal5,4
metal6,4
metal7,4
metal8,4
metal9,4
metal10,4
metal11,4
metal12,4
metal13,4
metal14,4
metal15,4
metal16,4
metal17,4
metal18,4
metal19,4
metal20,4
metal21,4
metal22,4
metal23,4
metal24,4
metal25,4
metal26,4
metal27,4
metal28,4
metal29,4
metal30,4
metal31,4
metal32,4
metal33,4
metal34,4
metal35,4
metal36,4
metal37,4
metal38,4
metal39,4
metal40,4
metal41,4
metal42,4
metal43,4
metal44,4
metal45,4
metal46,4
metal47,4
metal48,4
metal49,4
metal50,4
metal51,4
metal52,4
metal53,4
metal54,4
metal55,4
metal56,4
metal57,4
metal58,4
metal59,4
metal60,4
metal61,4
metal62,4
metal63,4
metal64,4
metal65,4
metal66,4
metal67,4
metal68,4
metal69,4
metal70,4
metal71,4
metal72,4
metal73,4
metal74,4
metal75,4
metal76,4
metal77,4
metal78,4
metal79,4
metal80,4
metal81,4
metal82,4
metal83,4
metal84,4
metal85,4
metal86,4
metal87,4
metal88,4
metal89,4
metal90,4
metal91,4
metal92,4
metal93,4
metal94,4
metal95,4
metal96,4
metal97,4
metal98,4
metal99,4
metal100,4
metal101,4
metal102,4
metal103,4
metal104,4
metal105,4
metal106,4
metal107,4
metal108,4
metal109,4
metal110,4
metal111,4
metal112,4
metal113,4
metal114,4
metal115,4
metal116,4
metal117,4
metal118,4
metal119,4
metal120,4
metal121,4
metal122,4
metal123,4
metal124,4
metal125,4
metal126,4
metal127,4
metal128,4
metal129,4
metal130,4
metal131,4
metal132,4
metal133,4
metal134,4
metal135,4
metal136,4
metal137,4
metal138,4
metal139,4
metal140,4
metal141,4
metal142,4
metal143,4
metal144,4
metal145,4
metal146,4
metal147,4
metal148,4
metal149,4
metal150,4
metal151,4
metal152,4
metal153,4
metal154,4
metal155,4
metal156,4
metal157,4
metal158,4
metal159,4
metal160,4
metal161,4
metal162,4
metal163,4
metal164,4
metal165,4
metal166,4
metal167,4
metal168,4
metal169,4
metal170,4
metal171,4
metal172,4
metal173,4
metal174,4
metal175,4
metal176,4
metal177,4
metal178,4
metal179,4
metal180,4
metal181,4
metal182,4
metal183,4
metal184,4
metal185,4
metal186,4
metal187,4
metal188,4
metal189,4
metal190,4
metal191,4
metal192,4
metal193,4
metal194,4
metal195,4
metal196,4
metal197,4
metal198,4
metal199,4
metal200,4
metal201,4
metal202,4
metal203,4
metal204,4
metal205,4
metal206,4
metal207,4
metal208,4
metal209,4
metal210,4
metal211,4
metal212,4
metal213,4
metal214,4
metal215,4
metal216,4
metal217,4
metal218,4
metal219,4
metal220,4
metal221,4
metal222,4
metal223,4
metal224,4
metal225,4
metal226,4
metal227,4
metal228,4
metal229,4
metal230,4
metal231,4
metal232,4
metal233,4
metal234,4
metal235,4
metal236,4
metal237,4
metal238,4
metal239,4
metal240,4
metal241,4
metal242,4
metal243,4
metal244,4
metal245,4
metal246,4
metal247,4
metal248,4
metal249,4
metal250,4
metal251,4
metal252,4
metal253,4
metal254,4
metal255,4
metal256,4
metal257,4
metal258,4
metal259,4
metal260,4
metal261,4
metal262,4
metal263,4
metal264,4
metal265,4
metal266,4
metal267,4
metal268,4
metal269,4
metal270,4
metal271,4
metal272,4
metal273,4
metal274,4
metal275,4
metal276,4
metal277,4
metal278,4
metal279,4
metal280,4
metal281,4
metal282,4
metal283,4
metal284,4
metal285,4
metal286,4
metal287,4
metal288,4
metal289,4
metal290,4
metal291,4
metal292,4
metal293,4
metal294,4
metal295,4
metal296,4
metal297,4
metal298,4
metal299,4
metal300,4
metal301,4
metal302,4
metal303,4
metal304,4
metal305,4
metal306,4
metal307,4
metal308,4
metal309,4
metal310,4
metal311,4
metal312,4
metal313,4
metal314,4
metal315,4
metal316,4
metal317,4
metal318,4
metal319,4
metal320,4
metal321,4
metal322,4
metal323,4
metal324,4
metal325,4
metal326,4
metal327,4
metal328,4
metal329,4
metal330,4
metal331,4
metal332,4
metal333,4
metal334,4
metal335,4
metal336,4
metal337,4
metal338,4
metal339,4
metal340,4
metal341,4
metal342,4
metal343,4
metal344,4
metal345,4
metal346,4
metal347,4
metal348,4
metal349,4
metal350,4
metal351,4
metal352,4
metal353,4
metal354,4
metal355,4
metal356,4
metal357,4
metal358,4
metal359,4
metal360,4
metal361,4
metal362,4
metal363,4
metal364,4
metal365,4
metal366,4
metal367,4
metal368,4
metal369,4
metal370,4
metal371,4
metal372,4
metal373,4
metal374,4
metal375,4
metal376,4
metal377,4
metal378,4
metal379,4
metal380,4
metal381,4
metal382,4
metal383,4
metal384,4
metal385,4
metal386,4
metal387,4
metal388,4
metal389,4
metal390,4
metal391,4
metal392,4
metal393,4
metal394,4
metal395,4
metal396,4
metal397,4
metal398,4
metal399,4
metal400,4
metal401,4
metal402,4
metal403,4
metal404,4
metal405,4
metal406,4
metal407,4
metal408,4
metal409,4
metal410,4
